incident_type,state_name,incident_year,month,damageCategory,avg_month,total_amount
Snowstorm,New York,2017,July,Roads and Bridges,11,141570
Snowstorm,New Jersey,2010,February,Roads and Bridges,6,138102
Snowstorm,Kentucky,2015,April,State Management,9,135607
Snowstorm,New York,2017,July,Debris Removal,9,131621
Snowstorm,New Jersey,2010,March,Recreational or Other,4,128716
Snowstorm,Pennsylvania,2016,March,Public Buildings,9,119672
Snowstorm,Illinois,2011,March,Public Buildings,3,117772
Snowstorm,Virginia,2016,March,Public Buildings,9,112796
Snowstorm,New Jersey,2010,March,Public Utilities,4,101840
Snowstorm,Connecticut,2011,March,State Management,1,99687
Snowstorm,Connecticut,2011,March,Public Buildings,5,96855
Snowstorm,Delaware,2016,March,Protective Measures,5,93176
Snowstorm,Delaware,2010,March,Debris Removal,3,90614
Snowstorm,New York,2014,December,Recreational or Other,4,89125
Snowstorm,New Jersey,2011,February,Public Buildings,3,87303
Snowstorm,Virginia,2016,March,Recreational or Other,8,85380
Snowstorm,New Jersey,2010,March,Roads and Bridges,4,83158
Snowstorm,Virginia,2010,April,Recreational or Other,6,78813
Snowstorm,Delaware,2016,March,Debris Removal,7,74014
Snowstorm,Kentucky,2015,April,Public Buildings,5,64588
Snowstorm,West Virginia,2010,April,Recreational or Other,4,57513
Snowstorm,Delaware,2010,March,State Management,4,51956
Snowstorm,Maryland,2010,May,State Management,3,46731
Snowstorm,Wisconsin,2011,April,Public Buildings,2,46701
Snowstorm,Delaware,2016,March,Public Utilities,5,46504
Snowstorm,Kansas,2013,April,State Management,1,42689
Snowstorm,Kansas,2017,June,Recreational or Other,10,41869
Snowstorm,Illinois,2011,March,Roads and Bridges,5,41801
Snowstorm,Kentucky,2015,April,Debris Removal,5,40760
Snowstorm,Pennsylvania,2016,March,Roads and Bridges,9,39449
Snowstorm,Maine,2015,March,Recreational or Other,4,38737
Snowstorm,Delaware,2016,March,Public Buildings,8,36021
Snowstorm,New Jersey,2010,March,Public Buildings,4,35990
Snowstorm,Delaware,2010,March,Roads and Bridges,4,34208
Snowstorm,Connecticut,2011,March,Roads and Bridges,2,31580
Snowstorm,Maine,2015,March,Public Buildings,4,30545
Snowstorm,West Virginia,2010,April,Public Buildings,4,26448
Snowstorm,Pennsylvania,2010,April,Roads and Bridges,5,23627
Snowstorm,Illinois,2011,March,Water Control Facilities,5,22850
Snowstorm,Maine,2015,March,State Management,2,22811
Snowstorm,Virginia,2010,February,Roads and Bridges,5,22443
Snowstorm,West Virginia,2010,March,Public Buildings,5,20608
Snowstorm,Illinois,2011,March,Recreational or Other,3,19746
Snowstorm,Massachusetts,2011,March,State Management,2,17442
Snowstorm,Maine,2015,March,Roads and Bridges,4,16174
Snowstorm,Kansas,2017,June,Public Buildings,4,15522
Snowstorm,Virginia,2010,February,Recreational or Other,5,13761
Snowstorm,West Virginia,2010,April,Roads and Bridges,4,13510
Snowstorm,Wisconsin,2011,April,State Management,8,13138
Snowstorm,Delaware,2010,March,Recreational or Other,5,11672
Snowstorm,West Virginia,2010,April,Public Utilities,4,11229
Snowstorm,Maine,2015,March,Debris Removal,5,10444
Snowstorm,New Jersey,2011,February,Public Utilities,3,10060
Snowstorm,West Virginia,2010,March,Public Utilities,5,9764
Snowstorm,Connecticut,2011,March,Debris Removal,5,9724
Snowstorm,New Jersey,2010,February,Public Buildings,3,9637
Snowstorm,Kentucky,2015,April,Recreational or Other,5,8814
Snowstorm,Delaware,2016,March,State Management,8,6322
Snowstorm,New Jersey,2011,February,Roads and Bridges,3,5644
Snowstorm,Pennsylvania,2010,April,Public Utilities,4,5267
Snowstorm,West Virginia,2010,March,Recreational or Other,5,4682
Snowstorm,Connecticut,2011,March,Public Utilities,2,4089
Snowstorm,Maine,2015,March,Public Utilities,6,3580
Snowstorm,Kansas,2013,April,Public Buildings,1,2044
Snowstorm,New Jersey,2011,February,Debris Removal,2,1500
Snowstorm,Wisconsin,2011,April,Roads and Bridges,2,1264
Snowstorm,District of Columbia,2010,March,State Management,17,0
Snowstorm,West Virginia,2010,April,State Management,27,-1634
Snowstorm,West Virginia,2010,March,State Management,27,-4683
Tornado,Kentucky,2021,December,Debris Removal,10,36756205
Tornado,Kentucky,2021,December,Buildings and Equipment,14,33611704
Tornado,Arkansas,2023,April,Debris Removal,6,32789990
Tornado,Kentucky,2021,December,Utilities,12,30386252
Tornado,Kentucky,2021,December,Emergency Protective Measures,7,28015930
Tornado,Massachusetts,2011,June,Public Buildings,16,27356974
Tornado,Tennessee,2020,March,Buildings and Equipment,21,26442494
Tornado,Tennessee,2020,March,Utilities,5,25214895
Tornado,Oklahoma,2013,May,Debris Removal,5,23845088
Tornado,Massachusetts,2011,June,Recreational or Other,12,19297536
Tornado,Connecticut,2018,August,Debris Removal,11,15036472
Tornado,Oklahoma,2013,May,Public Buildings,13,14560180
Tornado,Massachusetts,2011,June,Protective Measures,18,14484403
Tornado,Kentucky,2021,December,Management Costs,13,14432827
Tornado,Tennessee,2020,March,Debris Removal,8,14329070
Tornado,Tennessee,2020,March,Emergency Protective Measures,7,13794233
Tornado,Massachusetts,2011,June,Debris Removal,7,12882873
Tornado,Arkansas,2023,April,Emergency Protective Measures,6,9913883
Tornado,New York,2010,October,Debris Removal,3,9346988
Tornado,Indiana,2023,April,Utilities,7,8664811
Tornado,Nebraska,2014,June,Public Utilities,3,8568311
Tornado,New York,2010,October,Roads and Bridges,4,8467504
Tornado,Nebraska,2022,February,Utilities,5,7788815
Tornado,Arkansas,2023,April,Utilities,7,5658020
Tornado,Mississippi,2017,January,Debris Removal,2,5625162
Tornado,Oklahoma,2013,May,Protective Measures,9,5618265
Tornado,Oklahoma,2013,May,Public Utilities,9,5230444
Tornado,Kentucky,2021,December,"Parks, Recreational Facilities, and Other Items",11,4310410
Tornado,Arkansas,2023,April,"Parks, Recreational Facilities, and Other Items",7,3826453
Tornado,Minnesota,2010,July,Public Utilities,3,3563200
Tornado,Arkansas,2023,April,Buildings and Equipment,8,3524745
Tornado,Kentucky,2021,December,Roads and Bridges,10,3040546
Tornado,Oklahoma,2013,May,Roads and Bridges,8,2764296
Tornado,Montana,2016,August,Recreational or Other,2,2567931
Tornado,Indiana,2023,April,Debris Removal,5,2365038
Tornado,Alabama,2019,March,Debris Removal,8,2326221
Tornado,Arkansas,2023,April,Management Costs,9,2299540
Tornado,Minnesota,2010,July,Protective Measures,2,2269527
Tornado,New York,2010,October,Protective Measures,6,2189467
Tornado,Minnesota,2010,July,Public Buildings,4,2077235
Tornado,Oklahoma,2017,July,Roads and Bridges,8,2046118
Tornado,Tennessee,2020,March,Management Costs,12,1933267
Tornado,Minnesota,2010,July,Debris Removal,2,1748157
Tornado,Minnesota,2010,July,Roads and Bridges,2,1727820
Tornado,Oklahoma,2013,May,State Management,2,1665140
Tornado,Connecticut,2018,August,Section 324 Management Costs,4,1640967
Tornado,Arkansas,2020,May,Utilities,14,1638177
Tornado,New York,2010,October,Public Buildings,3,1609902
Tornado,Mississippi,2017,January,Public Buildings,2,1573966
Tornado,Tennessee,2020,March,"Parks, Recreational Facilities, and Other Items",21,1513561
